Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Category,Total of cases
200501EO40264,1,1,Driver/Rider,1,14,10 - 15 y/o,3,0,0,0,0,-1,1,-1,,
200501EO40345,2,1,Driver/Rider,1,15,10 - 15 y/o,3,0,0,0,0,-1,1,1,,
200501EO40402,2,1,Driver/Rider,1,14,10 - 15 y/o,3,0,0,0,0,-1,1,-1,,
200501EO40470,2,1,Driver/Rider,1,15,10 - 15 y/o,3,0,0,0,0,-1,1,1,,
200501EO40531,2,1,Driver/Rider,1,14,10 - 15 y/o,3,0,0,0,0,-1,1,1,,
200501EO40573,2,1,Driver/Rider,1,11,10 - 15 y/o,2,0,0,0,0,-1,1,-1,,
200501EO40664,1,1,Driver/Rider,1,12,10 - 15 y/o,3,0,0,0,0,-1,1,-1,,
200501EO40758,1,1,Driver/Rider,1,14,10 - 15 y/o,3,0,0,0,0,-1,1,1,,
200501EO40777,2,1,Driver/Rider,2,13,10 - 15 y/o,3,0,0,0,0,-1,1,1,,
200501EO40847,2,1,Driver/Rider,1,11,10 - 15 y/o,3,0,0,0,0,-1,1,1,,
200501EO40895,1,1,Driver/Rider,1,15,10 - 15 y/o,3,0,0,0,0,-1,1,-1,,
200501EO40930,2,1,Driver/Rider,1,12,10 - 15 y/o,3,0,0,0,0,-1,1,-1,,
200501EO41357,2,1,Driver/Rider,1,11,10 - 15 y/o,3,0,0,0,0,-1,1,-1,,
200501EO41504,3,1,Driver/Rider,1,14,10 - 15 y/o,3,0,0,0,0,-1,3,1,,
200501FH10088,2,1,Driver/Rider,1,15,10 - 15 y/o,2,0,0,0,0,-1,1,-1,,
200501FH10141,2,1,Driver/Rider,1,11,10 - 15 y/o,3,0,0,0,0,-1,1,1,,
200501FH10144,2,1,Driver/Rider,2,13,10 - 15 y/o,3,0,0,0,0,-1,1,-1,,
200501FH10186,2,1,Driver/Rider,2,14,10 - 15 y/o,3,0,0,0,0,-1,1,1,,
200501FH10298,1,1,Driver/Rider,2,13,10 - 15 y/o,3,0,0,0,0,-1,1,1,,
200501FH10370,1,1,Driver/Rider,1,15,10 - 15 y/o,3,0,0,0,0,-1,2,-1,,
200501FH10428,1,1,Driver/Rider,1,11,10 - 15 y/o,3,0,0,0,0,-1,1,1,,
200501FH10513,2,1,Driver/Rider,2,12,10 - 15 y/o,3,0,0,0,0,-1,1,1,,
200501GD10294,2,1,Driver/Rider,1,12,10 - 15 y/o,3,0,0,0,0,-1,1,-1,,
200501GD10519,1,1,Driver/Rider,1,15,10 - 15 y/o,3,0,0,0,0,-1,2,1,,
